User has been logged in {"username":"usertest","password":"12345678"} at Mon, 23 Nov 2020 22:39:40 GMTUser has been logged in {"username":"usertest","password":"12345678"} at Mon, 23 Nov 2020 22:39:44 GMTUser has been logged in {"username":"usertest","password":"12345678"} at Mon, 23 Nov 2020 22:40:27 GMTUser has been logged in {"username":"usertest","password":"12345678"} at Mon, 23 Nov 2020 22:40:29 GMTUser has been logged in {"username":"usertest","password":"12345678"} at Mon, 23 Nov 2020 22:40:57 GMTUser has been logged in {"username":"usertest","password":"12345678"} at Mon, 23 Nov 2020 22:41:00 GMTUser has been logged in {"username":"usertest","password":"12345678"} at Mon, 23 Nov 2020 22:41:01 GMTUsersControllerLogger  User has been logged in {"username":"usertest","password":"12345678"} at Mon, 23 Nov 2020 22:42:32 GMT
UsersControllerLogger  User has been logged in {"username":"usertest","password":"12345678"} at Mon, 23 Nov 2020 22:42:36 GMT
UsersControllerLogger  User has been logged in {"username":"usertest","password":"12345678"} at Mon, 23 Nov 2020 22:42:37 GMT
MessageGatewayLogger  usertest has sent message to all {"name":"dqwdqwd","text":"wqdqwdqwdqd"} at Mon, 23 Nov 2020 22:43:25 GMT
AppGatewayLogger  app gateway initialized
AppGatewayLogger  client connected : caFc4-IZBeN4xf4sAAAA at Mon, 23 Nov 2020 22:45:42 GMT
AppGatewayLogger  app gateway initialized
AppGatewayLogger  client connected : m0r4XmbC_1fmOnwiAAAA at Tue, 24 Nov 2020 00:24:12 GMT
AppGatewayLogger  app gateway initialized
AppGatewayLogger  app gateway initialized
AppGatewayLogger  client connected : QzwUYEZXEw-9n7ApAAAA at Tue, 24 Nov 2020 18:09:19 GMT
AppGatewayLogger  client connected : QzwUYEZXEw-9n7ApAAAA at Tue, 24 Nov 2020 18:09:19 GMT
MessageGatewayLogger  usertest has sent message to all {"name":"dqwdqwd","text":"adada"} at Tue, 24 Nov 2020 18:09:27 GMT
AppGatewayLogger  app gateway initialized
AppGatewayLogger  client connected : 4qb63WOSbwYeeEx9AAAA at Tue, 24 Nov 2020 18:22:24 GMT
MessageGatewayLogger  usertest has sent message to all {"name":"dqwdqwd","text":"edw"} at Tue, 24 Nov 2020 18:22:28 GMT
AppGatewayLogger  app gateway initialized
AppGatewayLogger  client connected : YjZnOES0lwNpfq72AAAA at Tue, 24 Nov 2020 19:15:16 GMT
MessageGatewayLogger  usertest has sent message to all {"name":"dqwdqwd","text":"wee"} at Tue, 24 Nov 2020 19:15:21 GMT
AppGatewayLogger  app gateway initialized
AppGatewayLogger  client connected : BcV9LKyn5h6klgptAAAA at Tue, 24 Nov 2020 19:15:52 GMT
AppGatewayLogger  client disconnected : BcV9LKyn5h6klgptAAAA at Tue, 24 Nov 2020 19:16:10 GMT
AppGatewayLogger  client connected : 4hOZho4yUlPtmhU2AAAB at Tue, 24 Nov 2020 19:16:11 GMT
AppGatewayLogger  app gateway initialized
AppGatewayLogger  client connected : ZgimxAU-lYA31-f3AAAA at Tue, 24 Nov 2020 19:19:42 GMT
MessageGatewayLogger  usertest has sent message to all {"name":"ewnjr","text":"wqdqw"} at Tue, 24 Nov 2020 19:19:50 GMT
AppGatewayLogger  app gateway initialized
AppGatewayLogger  client connected : GGKPT92t_IboamYCAAAA at Tue, 24 Nov 2020 19:21:42 GMT
MessageGatewayLogger  usertest has sent message to all {"name":"ewnjr","text":"wadnjkaw"} at Tue, 24 Nov 2020 19:21:48 GMT
AppGatewayLogger  client connected : UOW5Gqm0EKlcW076AAAB at Tue, 24 Nov 2020 19:21:58 GMT
